id,nume,diacritice,judet,auto,zip,populatie,lat,lng
1,Buftea,Buftea,Ilfov,IF,70000,19202,445.629.744,259.388.214
2,Buciumeni,Buciumeni,Ilfov,IF,70000,2976,445.460.939,259.574.846
3,Otopeni,Otopeni,Ilfov,IF,75100,12540,445.671.874,260.835.113
4,Odaile,Odăile,Ilfov,IF,75100,1321,445.435.944,260.487.028
5,1 decembrie,1 decembrie,Ilfov,IF,77005,7817,442.862.871,260.540.403
6,Copaceni,Copăceni,Ilfov,IF,77006,3131,442.705.494,260.832.726
7,Afumati,Afumaţi,Ilfov,IF,77010,7919,445.189.626,262.396.449
8,Balotesti,Baloteşti,Ilfov,IF,77015,6286,446.224.456,261.102.518
9,Dumbraveni,Dumbrăveni,Ilfov,IF,77015,519,446.359.645,261.156.689
10,Saftica,Săftica,Ilfov,IF,77015,1509,446.277.353,260.684.344
11,Berceni,Berceni,Ilfov,IF,77020,5942,443.122.991,261.883.996
12,Bragadiru,Bragadiru,Ilfov,IF,77025,15329,443.815.998,259.956.853
13,Branesti,Brăneşti,Ilfov,IF,77145,7305,44.45,26.333.333
14,Islaz,Islaz,Ilfov,IF,77031,1609,44.461.218,263.883.149
15,Pasarea,Pasărea,Ilfov,IF,77032,1325,44.471.466,263.220.198
16,Vadu Anei,Vadu Anei,Ilfov,IF,77033,128,444.228.074,263.541.407
17,Cernica,Cernica,Ilfov,IF,77035,3136,444.189.725,262.799.064
18,Balaceanca,Bălăceanca,Ilfov,IF,77035,2865,443.908.015,262.892.126
19,Caldararu,Căldăraru,Ilfov,IF,77037,1176,444.141.479,26.259.505
20,Posta,Poşta,Ilfov,IF,77038,599,443.775.772,263.103.375
21,Tanganu,Tânganu,Ilfov,IF,77039,3110,444.029.353,263.148.947
22,Chiajna,Chiajna,Ilfov,IF,77040,4511,444.584.095,259.733.521
23,Dudu,Dudu,Ilfov,IF,77041,1728,444.553.447,259.859.332
24,Rosu,Roşu,Ilfov,IF,77042,8020,444.467.658,260.009.209
25,Chitila,Chitila,Ilfov,IF,77045,12768,44.509.892,259.845.856
26,Rudeni,Rudeni,Ilfov,IF,77046,1416,444.749.519,259.661.158
27,Ciolpani,Ciolpani,Ilfov,IF,77050,2828,4.472.724,2.610.957
28,Izvorani,Izvorani,Ilfov,IF,77051,641,446.953.456,261.209.458
29,Luparia,Lupăria,Ilfov,IF,77052,552,447.418.641,261.233.622
